chr start end dxy_BS_vs_WS dxy_pcent_BS_vs_WS dxy_BA_vs_WS dxy_pcent_BA_vs_WS XPEHH_mean std_XPEHH_mean VeryGood Good
chr1 28960001 28980000 0.0010416903414471 0.0015434460732266 0.0038000760385224 0.00165702507903281 -0.0643876920991736 -0.794236570247934 FALSE TRUE
chr1 28980001 29000000 0.0007264900199029 0.00158864817533865 0.0040290105364541 0.00165702507903281 0.22238112125 0.291105528522727 FALSE TRUE
chr1 29000001 29020000 0.0010284190888707 0.00158692418618268 0.004647001373446 0.00165702507903281 0.379712078645833 0.8671534921875 FALSE TRUE
chr10 21120001 21140000 0.0003970790862416 0.00130560834745209 0.0033456158380852 0.0016352331586551 -0.149069834266667 -1.23451286666667 FALSE TRUE
chr10 21380001 21400000 0.0007741626577365 0.00125066482177834 0.006536458967076 0.0016352331586551 -0.406901888888889 -2.27442814814815 TRUE TRUE
chr10 21480001 21500000 0.0008827554701819 0.00128767743400407 0.0035179685659786 0.0016352331586551 0.0722307173469388 -0.338755245612245 FALSE TRUE
chr10 21500001 21580000 0.00115450903619988 0.00128767743400407 0.0062853131025082 0.0016352331586551 -0.117610517976879 -1.12502218996146 FALSE TRUE
chr10 22040001 22060000 0.0009691367228268 0.00112480903999146 0.0047585672158276 0.0016352331586551 -0.0186793744444444 -0.671373991269841 FALSE TRUE
chr10 25100001 25120000 0.000496358749694 0.00139152941026053 0.0032897498414739 0.0016352331586551 -0.643616682926829 -3.15422292682927 TRUE TRUE
chr10 25120001 25140000 0.0007953806875105 0.00138488358661681 0.0030849394899402 0.0016352331586551 -0.618638868421053 -3.09393342105263 TRUE TRUE
chr10 25140001 25160000 0.0006846187008576 0.00139773147743088 0.0058821479063923 0.0016352331586551 -0.850418765625 -3.94315046875 TRUE TRUE
chr10 25160001 25180000 0.0011352963881479 0.00139800022936762 0.0042957739783275 0.0016352331586551 -0.89579556557377 -4.06085475409836 TRUE TRUE
chr10 25180001 25200000 0.0009187868225131 0.00142094586406575 0.004536037219449 0.0016352331586551 -0.725775421052632 -3.52536280701754 TRUE TRUE
chr10 25200001 25220000 0.000517685019453 0.00149155134745543 0.0036937934401621 0.0016352331586551 -0.539838835051546 -2.81224175257732 TRUE TRUE
chr10 26320001 26340000 0.0010355904076123 0.00134158713103508 0.0022585006304429 0.0016352331586551 -0.564875023529412 -2.85883270588235 TRUE TRUE
chr12 16220001 16240000 0.0007587874854153 0.00157680991610641 0.0029014493378901 0.00188401851031197 0.335009346730769 0.738979743269231 FALSE TRUE
chr16 13980001 14000000 0.0004348547615828 0.0015946719431384 0.0031778664470076 0.00179391267820278 -0.187695922077922 -1.27933172727273 FALSE TRUE
chr16 14080001 14100000 0.0005350016387437 0.00140894355998776 0.002254130766878 0.00179391267820278 -0.148500008990196 -1.1385288627451 FALSE TRUE
chr16 14380001 14420000 0.0009370177157033 0.0015190326742305 0.00332591387571215 0.00179391267820278 -0.0383558822746114 -0.756767336787565 FALSE TRUE
chr16 14420001 14440000 0.0011793214862681 0.0015190326742305 0.0036779154207603 0.00179391267820278 -0.245796706422018 -1.61240160550459 FALSE TRUE
chr16 14440001 14460000 0.0014411347291543 0.0015190326742305 0.0027889088722711 0.00179391267820278 -0.191512346938776 -1.30268982653061 FALSE TRUE
chr16 14460001 14500000 0.0010302910050138 0.0015190326742305 0.00267452605626285 0.00179391267820278 -0.260040112299465 -1.60326898395722 FALSE TRUE
chr16 14520001 14580000 0.00150477777469577 0.00159041595167641 0.00548774504003157 0.00179391267820278 -0.273667450248756 -1.72737689054726 FALSE TRUE
chr16 14580001 14600000 0.00116600701166 0.00159987108150281 0.0043083632160355 0.00179391267820278 -0.410546924242424 -2.19199363636364 TRUE TRUE
chr16 14600001 14640000 0.00082197032034765 0.00159987108150281 0.0035258283682264 0.00179391267820278 -0.528405488687783 -2.63863135746606 TRUE TRUE
chr16 14640001 14700000 0.00117085352347407 0.00159122381140358 0.00293715968304907 0.00179391267820278 -0.476452819672131 -2.50771357377049 TRUE TRUE
chr16 14700001 14720000 0.0014353052354128 0.0015968504093721 0.0040299873774826 0.00179391267820278 -0.185460925233645 -1.38205426168224 FALSE TRUE
chr16 15320001 15340000 0.001439820198063 0.00160251585848317 0.0066707901033695 0.00179391267820278 -0.412654745098039 -2.20922941176471 TRUE TRUE
chr16 15340001 15360000 0.0006359993373774 0.00160251585848317 0.0036058279139809 0.00179391267820278 -0.45212121875 -2.3512284375 TRUE TRUE
chr19 6360001 6380000 0.0005004859599822 0.00158225343224496 0.0058939368134207 0.0017448772234491 -0.61915287804878 -2.98694841463415 TRUE TRUE
