chr	start	end	dxy_BS_vs_WS	dxy_pcent_BS_vs_WS	dxy_BA_vs_WS	dxy_pcent_BA_vs_WS	XPEHH_mean	std_XPEHH_mean	VeryGood	Good
chr1	28920001	28960000	0.0024212920235727	0.00158864817533865	0.00774454465783745	0.00165702507903281	0.285265999756757	0.573298840540541	FALSE	FALSE
chr1	28960001	28980000	0.0010416903414471	0.0015434460732266	0.0038000760385224	0.00165702507903281	-0.0643876920991736	-0.794236570247934	FALSE	TRUE
chr1	28980001	29000000	0.0007264900199029	0.00158864817533865	0.0040290105364541	0.00165702507903281	0.22238112125	0.291105528522727	FALSE	TRUE
chr1	29000001	29020000	0.0010284190888707	0.00158692418618268	0.004647001373446	0.00165702507903281	0.379712078645833	0.8671534921875	FALSE	TRUE
chr1	29020001	29080000	0.0031254177803155	0.00164489809850055	0.00517282487129977	0.00165702507903281	0.373322115055188	0.885583357682119	FALSE	FALSE
chr10	20540001	20600000	0.0033346331876271	0.0012998058387994	0.006082477336625	0.0016352331586551	0.324514480947368	0.666579715789474	FALSE	FALSE
chr10	20820001	20860000	0.00301721702268995	0.00119574659535408	0.0119419440928782	0.0016352331586551	0.396129834381551	0.960371624737946	FALSE	FALSE
chr10	21120001	21140000	0.0003970790862416	0.00130560834745209	0.0033456158380852	0.0016352331586551	-0.149069834266667	-1.23451286666667	FALSE	TRUE
chr10	21380001	21400000	0.0007741626577365	0.00125066482177834	0.006536458967076	0.0016352331586551	-0.406901888888889	-2.27442814814815	TRUE	TRUE
chr10	21480001	21500000	0.0008827554701819	0.00128767743400407	0.0035179685659786	0.0016352331586551	0.0722307173469388	-0.338755245612245	FALSE	TRUE
chr10	21500001	21580000	0.00115450903619988	0.00128767743400407	0.0062853131025082	0.0016352331586551	-0.117610517976879	-1.12502218996146	FALSE	TRUE
chr10	21580001	21600000	0.0016115109638693	0.00128767743400407	0.0060976264397376	0.0016352331586551	-0.394715397058824	-2.32233117647059	FALSE	FALSE
chr10	21940001	21960000	0.0019512401719511	0.00126047540084505	0.0038897406450935	0.0016352331586551	0.0466133411214955	-0.478312216915888	FALSE	FALSE
chr10	22040001	22060000	0.0009691367228268	0.00112480903999146	0.0047585672158276	0.0016352331586551	-0.0186793744444444	-0.671373991269841	FALSE	TRUE
chr10	25040001	25060000	0.0037227479154802	0.00134011126152857	0.0054945802345648	0.0016352331586551	-0.236619014835165	-1.53300081868132	FALSE	FALSE
chr10	25060001	25080000	0.0019863697920912	0.00134351263787897	0.0034001272316117	0.0016352331586551	-0.366713322580645	-2.09637322580645	FALSE	FALSE
chr10	25080001	25100000	0.0022539058581031	0.00134239640297736	0.0038592014818133	0.0016352331586551	-0.36511831147541	-2.08810770491803	FALSE	FALSE
chr10	25100001	25120000	0.000496358749694	0.00139152941026053	0.0032897498414739	0.0016352331586551	-0.643616682926829	-3.15422292682927	TRUE	TRUE
chr10	25120001	25140000	0.0007953806875105	0.00138488358661681	0.0030849394899402	0.0016352331586551	-0.618638868421053	-3.09393342105263	TRUE	TRUE
chr10	25140001	25160000	0.0006846187008576	0.00139773147743088	0.0058821479063923	0.0016352331586551	-0.850418765625	-3.94315046875	TRUE	TRUE
chr10	25160001	25180000	0.0011352963881479	0.00139800022936762	0.0042957739783275	0.0016352331586551	-0.89579556557377	-4.06085475409836	TRUE	TRUE
chr10	25180001	25200000	0.0009187868225131	0.00142094586406575	0.004536037219449	0.0016352331586551	-0.725775421052632	-3.52536280701754	TRUE	TRUE
chr10	25200001	25220000	0.000517685019453	0.00149155134745543	0.0036937934401621	0.0016352331586551	-0.539838835051546	-2.81224175257732	TRUE	TRUE
chr10	25380001	25400000	0.0027478003360004	0.00121922359612814	0.0054304909424203	0.0016352331586551	0.411817639716312	1.03225744680851	FALSE	FALSE
chr10	25680001	25700000	0.0035261906829331	0.00146388253046498	0.0037055465828488	0.0016352331586551	0.109194390509317	-0.111920270807453	FALSE	FALSE
chr10	26200001	26240000	0.00257221580554985	0.00140857128948892	0.0046662677391082	0.0016352331586551	-0.297414199300699	-1.78720468531469	FALSE	FALSE
chr10	26300001	26320000	0.0028071431167676	0.0012748178640482	0.0047308679076968	0.0016352331586551	-0.467405547770701	-2.41905270700637	FALSE	FALSE
chr10	26320001	26340000	0.0010355904076123	0.00134158713103508	0.0022585006304429	0.0016352331586551	-0.564875023529412	-2.85883270588235	TRUE	TRUE
chr10	26340001	26360000	0.0014714012778971	0.00135582035187148	0.0028089205137105	0.0016352331586551	-0.800355623853211	-3.72271844036697	FALSE	FALSE
chr10	27520001	27560000	0.0015423849819499	0.00123199049551045	0.0065298508732225	0.0016352331586551	0.277414405261236	0.499519077275281	FALSE	FALSE
chr12	16060001	16080000	0.0021898858387382	0.0017006493149299	0.0051160841282008	0.00188401851031197	0.413203847208122	1.09189612385787	FALSE	FALSE
chr12	16140001	16160000	0.0005751353153009	0.00159161264483512	0.0037532365514242	0.00188401851031197	0.571491594565217	1.6503255076087	FALSE	FALSE
chr12	16180001	16200000	0.0003397246363826	0.00158554448850128	0.0031037813691929	0.00188401851031197	0.439043656521739	1.13687172173913	FALSE	FALSE
chr12	16200001	16220000	0.0012648427018419	0.00158554448850128	0.0036606333524603	0.00188401851031197	0.39937117573913	1.00276437130435	FALSE	FALSE
chr12	16220001	16240000	0.0007587874854153	0.00157680991610641	0.0029014493378901	0.00188401851031197	0.335009346730769	0.738979743269231	FALSE	TRUE
chr16	13980001	14000000	0.0004348547615828	0.0015946719431384	0.0031778664470076	0.00179391267820278	-0.187695922077922	-1.27933172727273	FALSE	TRUE
chr16	14080001	14100000	0.0005350016387437	0.00140894355998776	0.002254130766878	0.00179391267820278	-0.148500008990196	-1.1385288627451	FALSE	TRUE
chr16	14100001	14120000	NA	0.00140894355998776	NA	0.00179391267820278	0.213766805	0.270483875	FALSE	NA
chr16	14120001	14240000	0.00179441654481615	0.00163323693808847	0.0036833523456665	0.00179391267820278	-0.213856141556535	-1.44219531762115	FALSE	FALSE
chr16	14380001	14420000	0.0009370177157033	0.0015190326742305	0.00332591387571215	0.00179391267820278	-0.0383558822746114	-0.756767336787565	FALSE	TRUE
chr16	14420001	14440000	0.0011793214862681	0.0015190326742305	0.0036779154207603	0.00179391267820278	-0.245796706422018	-1.61240160550459	FALSE	TRUE
chr16	14440001	14460000	0.0014411347291543	0.0015190326742305	0.0027889088722711	0.00179391267820278	-0.191512346938776	-1.30268982653061	FALSE	TRUE
chr16	14460001	14500000	0.0010302910050138	0.0015190326742305	0.00267452605626285	0.00179391267820278	-0.260040112299465	-1.60326898395722	FALSE	TRUE
chr16	14500001	14520000	0.0023940328654778	0.00154996649092546	0.0086851324665951	0.00179391267820278	-0.199376850649351	-1.45178030519481	FALSE	FALSE
chr16	14520001	14580000	0.00150477777469577	0.00159041595167641	0.00548774504003157	0.00179391267820278	-0.273667450248756	-1.72737689054726	FALSE	TRUE
chr16	14580001	14600000	0.00116600701166	0.00159987108150281	0.0043083632160355	0.00179391267820278	-0.410546924242424	-2.19199363636364	TRUE	TRUE
